Narrative,USA_Count,USA_Percentage_num,Australia_Count,Australia_Percentage_num,Difference
POLLUTION_IS_CHOKING,0,0.0,2,2.0,-2.0
WIN_WIN,0,0.0,7,7.000000000000001,-7.000000000000001
FOSSIL_FUEL_SOLUTIOINISM,0,0.0,10,10.0,-10.0
ADAPTATION,0,0.0,1,1.0,-1.0
NO_STICKS,1,1.0,4,4.0,-3.0
EVERY_LITTLE_HELPS,1,1.0,2,2.0,-1.0
VICTIM_BLAMING,1,1.0,0,0.0,1.0
COLLAPSE_IS_IMMINENT,2,2.0,0,0.0,2.0
OTHERS_ARE_WORSE,2,2.0,1,1.0,1.0
CARBON_EXPANSION,3,3.0,4,4.0,-1.0
TECHNOLOGICAL_OPTIMISM,3,3.0,5,5.0,-2.0
ENDANGERED_SPECIES,3,3.0,3,3.0,0.0
ALL_TALK,3,3.0,0,0.0,3.0
CLIMATE_SOLUTIONS_WONT_WORK,5,5.0,15,15.0,-10.0
NO_NEED_TO_ACT,6,6.0,2,2.0,4.0
GORE,6,6.0,0,0.0,6.0
ALL_GOING_TO_DIE,7,7.000000000000001,3,3.0,4.000000000000001
OFFICIALS_DECLARE_EMERGENCY,10,10.0,6,6.0,4.0
DEBATE_AND_SCAM,11,11.0,23,23.0,-12.0
YOURE_DESTROYING_OUR_FUTURE,14,14.000000000000002,3,3.0,11.000000000000002
12_YEARS,22,22.0,9,9.0,13.0
